
2024/07/11 (16:27:50) | ===> btop++ v.1.3.2
2024/07/11 (16:27:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/11 (17:24:36) | ===> btop++ v.1.3.2
2024/07/11 (17:24:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/11 (17:35:09) | ===> btop++ v.1.3.2
2024/07/11 (17:35:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/11 (17:54:36) | ===> btop++ v.1.3.2
2024/07/11 (17:54:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/11 (17:55:12) | ===> btop++ v.1.3.2
2024/07/11 (17:55:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/11 (22:13:22) | ===> btop++ v.1.3.2
2024/07/11 (22:13:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/13 (00:07:38) | ===> btop++ v.1.3.2
2024/07/13 (00:07:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/13 (09:02:52) | ===> btop++ v.1.3.2
2024/07/13 (09:02:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/13 (21:52:03) | ===> btop++ v.1.3.2
2024/07/13 (21:52:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/14 (01:04:31) | ===> btop++ v.1.3.2
2024/07/14 (01:04:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/14 (10:42:15) | ===> btop++ v.1.3.2
2024/07/14 (10:42:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/15 (16:58:21) | ===> btop++ v.1.3.2
2024/07/15 (16:58:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/15 (23:01:09) | ===> btop++ v.1.3.2
2024/07/15 (23:01:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/15 (23:10:09) | ===> btop++ v.1.3.2
2024/07/15 (23:10:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/24 (08:23:29) | ===> btop++ v.1.3.2
2024/07/24 (08:23:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/24 (08:23:49) | ===> btop++ v.1.3.2
2024/07/24 (08:23:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/25 (22:27:27) | ===> btop++ v.1.3.2
2024/07/25 (22:27:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
